"Sweep (n)","Ediast (mV)"
277,-45.2636686712142
278,-45.7885709778113
279,-45.1873747313018
280,-46.4202848002858
281,-45.8557096449342
282,-45.4864469757583
283,-45.7031217651095
284,-46.0296598279344
285,-45.4071012782495
286,-45.8343473417588
287,-46.3684049211454
288,-46.2249723141101
289,-44.7418181222135
290,-45.5993620068286
291,-45.1873747313018
292,-45.1141325489859
293,-45.8801237057062
294,-46.0479703735134
295,-45.5841032188462
296,-45.8770719481097
297,-45.6481901283726
298,-45.3186003079511
299,-45.3155485503546
300,-44.3939177562131
301,-44.0856902389671
302,-43.7164275697912
303,-43.3715789613873
304,-42.9046600491235
305,-42.4255341064738
306,-42.3889130153159
307,-42.0165985885435
308,-42.2515839234736
309,-42.2576874386666
310,-41.3146943413496
311,-42.7612274420883
312,-43.3013885366679
313,-44.15282890609
314,-43.9636199351073
315,-43.9819304806863
316,-44.140621875704
317,-43.8812224800019
318,-45.1538053977404
319,-44.9157683052138
320,-43.4600799316856
321,-43.1213348384747
322,-42.7215545933338
323,-42.1600311955788
324,-42.5353973799476
325,-43.6035125387209
326,-44.9157683052138
327,-44.8913542444418
328,-44.461056423336
329,-43.6279265994929
330,-43.838497873651
331,-42.6696747141934
332,-43.1213348384747
333,-42.5415008951406
334,-43.1579559296326
335,-42.9351776250885
336,-42.1874970139472
337,-42.1386688924033
338,-42.5415008951406
339,-43.4631316892821
340,-45.6237760676006
341,-45.5871549764427
342,-45.0622526698455
343,-45.4559293997934
344,-45.0195280634946
345,-45.4772917029688
346,-44.8120085469329
347,-43.4600799316856
348,-43.1304901112642
349,-43.9086882983704
350,-44.2413298763884
351,-44.8028532741434
352,-45.0286833362841
353,-44.2962615131253
354,-44.9523893963717
355,-45.4467741270039
356,-43.9361541167389
357,-43.7286346001772
358,-44.8394743653014
359,-44.9523893963717
360,-44.4915739993009
361,-46.0174527975485
362,-44.3939177562131
363,-45.7763639474254
364,-44.0063445414582
365,-43.6004607811244
366,-43.0328338681763
367,-42.7307098661233
368,-42.8619354427726
369,-42.2943085298245
370,-41.7541474352449
371,-42.2058075595262
372,-41.9372528910346
373,-41.6015595554202
374,-42.2607391962631
375,-41.3391084021216
376,-41.674801737736
377,-42.2210663475087
378,-43.1457488992466
379,-43.8110320552826
380,-43.9697234503003
381,-44.0368621174232
382,-44.0093962990547
383,-42.8436248971936
384,-43.2128875663695
385,-42.9229705947025
386,-42.4835175008072
387,-43.3105438094574
