"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"21504082","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-82.0009726676628
"21621007","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-80.910152406974
"21621018","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-84.5626180538037
"21621035","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-71.5363125201762
"21621045","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-51.2204565515339
"21621060","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-76.4621545713675
"21621071","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-70.752865291763
"21621083","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-78.5054894352518
"21621101","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-87.1312214474266
"21621114","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-57.5191012718955
"21621123","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-63.8605926699096
"21723037","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-67.0872770869628
"21723051","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-73.5246547108913
"21723066","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-71.7638515718687
"21723076","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-77.1019860839459
"21726006","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-81.4164390040204
"21726046","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-59.0114107713271
"21727005","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-72.0510219683851
"21728017","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-77.6292687737451
"21728025","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-72.9296230008725
"21728033","WTC11_Expanded.Maturated_Tyr_3.33Hz","WTC11","Expanded.Maturated","Tyr","3.33Hz","Ediast (mV)",-75.7418176915192
"21412047","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-65.4119231626316
"21504006","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-62.2949799513035
"21504014","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-81.9680747200066
"21504024","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-65.2444427018365
"21504033","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-74.3576014486722
"21504041","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-78.4295617044832
"21504050","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-58.0555392346974
"21504058","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-76.7694665684897
"21504066","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-65.2976043204052
"21504075","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-76.6489221406216
"21504083","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-82.3081015593249
"21621008","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-78.0710412136995
"21621020","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-84.8995931354545
"21621036","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-73.2595180047346
"21621047","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-55.3637058664588
"21621061","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-74.4306605272333
"21621073","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-61.9522065300843
"21621084","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-71.6453213040611
"21621102","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-85.8154866466394
"21621115","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-56.8569308931907
"21621124","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-61.1301240495999
"21723038","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-64.880917328478
"21723052","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-70.9423184077644
"21723067","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-71.0245937944816
"21723077","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-73.406185478237
"21726007","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-78.5719567172511
"21726047","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-62.2935761427764
"21727006","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-69.5337491387304
"21728018","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-77.9214440528363
"21728026","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-67.1259733741874
"21728034","WTC11_Expanded.Maturated_Tyr_4Hz","WTC11","Expanded.Maturated","Tyr","4Hz","Ediast (mV)",-73.1650966225006
"21504007","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-60.7463960404823
"21504015","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-82.02605811569
"21504025","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-60.8919648812244
"21504034","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-73.2158778700887
"21504042","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-74.6859705737005
"21504051","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-52.1984838488301
"21504059","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-73.4424403593275
"21504067","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-58.728634905852
"21504076","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-78.3806725466491
"21504084","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-79.3172569748199
"21621009","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-76.6350061256575
"21621022","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-74.7873499634165
"21621037","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-72.0295986295589
"21621049","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-49.625852135086
"21621074","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-69.8926358404342
"21621104","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-77.886104699046
"21621116","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-52.9290746344413
"21621125","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-58.8114596089493
"21723039","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-62.4003876611406
"21723053","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-71.3665737587071
"21723068","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-68.2727018353457
"21723078","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-68.3824430410707
"21726008","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-76.3059656139424
"21726049","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-61.9047822159306
"21727007","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-66.8724943823207
"21728019","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-75.9737512742529
"21728027","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-64.3776824890992
"21728035","WTC11_Expanded.Maturated_Tyr_5Hz","WTC11","Expanded.Maturated","Tyr","5Hz","Ediast (mV)",-69.7742886780866
"21412009","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Peak (mV)",44.7436502185407
"21412014","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Peak (mV)",60.1409883543938
"21412023","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Peak (mV)",60.1702852280023
"21420007","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Peak (mV)",59.5989961926371
"21420015","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Peak (mV)",59.0789766860867
"21420024","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Peak (mV)",48.7414527630302
"21420034","WTC11_Expanded.D14_Tyr_0.5Hz","WTC11","Expanded.D14","Tyr","0.5Hz","Peak (mV)",51.6748022330786
"21412010","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Peak (mV)",47.9009987013871
"21412015","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Peak (mV)",57.0544406494345
"21412024","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Peak (mV)",56.869504134781
"21420008","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Peak (mV)",59.8498506729096
"21420016","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Peak (mV)",51.3433813503827
"21420025","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Peak (mV)",47.6898170707927
"21420035","WTC11_Expanded.D14_Tyr_1Hz","WTC11","Expanded.D14","Tyr","1Hz","Peak (mV)",51.2536596749568
"21412011","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Peak (mV)",47.5854469585625
"21412016","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Peak (mV)",55.6579563407639
"21412025","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Peak (mV)",55.4913303721157
"21420009","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Peak (mV)",60.0830049587104
"21420017","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Peak (mV)",50.3857397943058
"21420026","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Peak (mV)",45.9368874665524
"21420036","WTC11_Expanded.D14_Tyr_2Hz","WTC11","Expanded.D14","Tyr","2Hz","Peak (mV)",48.8793922096034
"21412026","WTC11_Expanded.D14_Tyr_3.33Hz","WTC11","Expanded.D14","Tyr","3.33Hz","Peak (mV)",55.5950901328124
"21420010","WTC11_Expanded.D14_Tyr_3.33Hz","WTC11","Expanded.D14","Tyr","3.33Hz","Peak (mV)",59.9078340685931
"21420018","WTC11_Expanded.D14_Tyr_3.33Hz","WTC11","Expanded.D14","Tyr","3.33Hz","Peak (mV)",48.3795143036589
"21420037","WTC11_Expanded.D14_Tyr_3.33Hz","WTC11","Expanded.D14","Tyr","3.33Hz","Peak (mV)",46.6552712214935
"21412017","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Peak (mV)",52.9949926000604
"21412027","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Peak (mV)",55.0640842986588
"21420011","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Peak (mV)",60.0329561329626
"21420019","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Peak (mV)",48.4197975048705
"21420038","WTC11_Expanded.D14_Tyr_4Hz","WTC11","Expanded.D14","Tyr","4Hz","Peak (mV)",44.3719461346331
"21412020","WTC11_Expanded.D14_Tyr_5Hz","WTC11","Expanded.D14","Tyr","5Hz","Peak (mV)",47.5335670782142
"21412028","WTC11_Expanded.D14_Tyr_5Hz","WTC11","Expanded.D14","Tyr","5Hz","Peak (mV)",52.7172826523134
"21420012","WTC11_Expanded.D14_Tyr_5Hz","WTC11","Expanded.D14","Tyr","5Hz","Peak (mV)",59.0539522732128
"21420039","WTC11_Expanded.D14_Tyr_5Hz","WTC11","Expanded.D14","Tyr","5Hz","Peak (mV)",44.76440217068
"21412033","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",56.3848850171742
"21504001","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",50.1281714471646
"21504019","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",46.4086892019555
"21504028","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",53.5424779256188
"21504037","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",48.1268287687858
"21504046","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",48.0426002571614
"21504054","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",51.2133764737451
"21504062","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",49.0930152463319
"21504071","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",46.7242409447801
"21504079","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",43.7982156931339
"21621010","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",51.0534643719656
"21621014","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",53.5681126900262
"21621026","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",58.8012667383397
"21621030","WTC11_Expanded.Maturated_Tyr_0.5Hz","WTC11","Expanded.Maturated","Tyr","0.5Hz","Peak (mV)",43.9007547507635
