"Sweep (n)","Ediast (mV)"
199,-55.484004861876
200,-55.3039511636828
201,-54.6783408564013
202,-55.6213339537183
203,-55.4931601346655
204,-55.0262412224018
205,-54.904170918542
206,-55.163570314244
207,-55.3375204972443
208,-54.873653342577
209,-54.7576865539102
210,-54.9194297065244
211,-54.7454795235242
212,-55.1055869199106
213,-54.6905478867873
214,-54.7210654627523
215,-55.163570314244
216,-54.8095664330506
217,-54.1961631561551
218,-54.6905478867873
219,-54.8767051001735
220,-55.2886923757003
221,-54.8492392818051
222,-55.0476035255772
223,-54.9804648584543
224,-55.3680380732092
225,-54.6295127348574
226,-54.7973594026646
227,-55.3008994060863
228,-55.0903281319282
229,-55.0872763743317
230,-55.47179783149
231,-54.8492392818051
232,-54.3731650967518
233,-54.6539267956294
234,-54.9896201312438
235,-54.6722373412084
236,-54.9835166160508
237,-55.2642783149284
238,-55.1910361326125
239,-54.9407920096999
240,-54.8034629178576
241,-54.7759970994892
242,-55.1910361326125
243,-55.1971396478055
244,-55.163570314244
245,-54.8583945545945
246,-55.2886923757003
247,-54.9255332217174
248,-55.0994834047177
249,-54.6874961291908
250,-55.1391562534721
251,-54.9285849793139
252,-54.910274433735
253,-54.1168174586463
254,-55.0140341920158
255,-54.9407920096999
256,-55.0720175863492
257,-54.9804648584543
258,-54.7515830387172
259,-55.3008994060863
260,-54.9560507976824
261,-54.861446312191
262,-54.8522910394016
263,-55.2246054661739
264,-54.910274433735
265,-55.163570314244
266,-55.3832968611917
267,-55.6610068024727
268,-55.6091269233323
269,-55.2459677693494
270,-55.5602988017884
271,-55.163570314244
272,-55.1971396478055
273,-55.1788291022265
274,-55.2795371029109
275,-55.6365927417008
276,-55.7647665607536
277,-55.5541952865954
278,-55.4260214675426
279,-55.3039511636828
280,-55.200191405402
281,-55.6823691056482
282,-55.4809531042795
283,-55.9844931077012
284,-55.2947958908933
285,-55.2642783149284
286,-55.7525595303676
287,-55.4748495890865
288,-55.6426962568938
289,-55.5725058321744
290,-55.6213339537183
291,-55.4656943162971
292,-55.9722860773152
293,-55.5633505593849
294,-55.2612265573319
295,-55.4077109219636
296,-55.1361044958756
297,-55.6182821961218
298,-55.508418922648
299,-55.477901346683
300,-55.4595908011041
301,-55.2307089813669
302,-55.5999716505428
303,-54.8583945545945
304,-55.2154501933845
305,-55.1238974654896
306,-55.6701620752622
307,-55.2795371029109
308,-55.4229697099461
309,-55.3771933459987
310,-55.1727255870335
311,-55.5511435289989
312,-55.0079306768228
313,-55.212398435788
314,-55.4077109219636
315,-55.2581747997354
316,-55.9722860773152
317,-55.7678183183501
318,-55.4870566194725
319,-55.7037314088237
320,-55.3100546788758
321,-55.773921833543
322,-55.8502157734554
323,-55.5725058321744
324,-55.2612265573319
325,-55.0353964951913
326,-55.3527792852267
327,-55.5877646201569
328,-55.5816611049639
329,-55.3192099516653
330,-55.4016074067707
331,-55.6518515296832
332,-55.6762655904552
333,-55.1422080110686
334,-55.3527792852267
335,-55.3710898308057
336,-55.1330527382791
337,-55.3192099516653
338,-56.3293417161051
339,-56.1035116539645
340,-55.9753378349117
341,-56.106563411561
342,-55.8074911671045
343,-55.9509237741398
344,-55.9570272893328
345,-55.6854208632447
346,-55.6640585600692
347,-55.5694540745779
348,-55.5664023169814
349,-56.1096151691575
350,-55.4229697099461
351,-54.9835166160508
352,-55.6335409841043
353,-56.3384969888946
354,-55.6335409841043
355,-55.834956985473
356,-55.5175741954375
357,-56.1523397755084
358,-55.8471640158589
359,-56.1096151691575
360,-56.2347372306138
361,-56.0516317748241
362,-56.3842733528421
363,-55.7617148031571
364,-55.6793173480517
365,-55.0964316471212
366,-56.0150106836662
367,-56.2591512913858
368,-55.9051474101923
369,-56.2011678970524
370,-56.2469442609998
371,-55.9967001380872
372,-55.8074911671045
373,-56.5704305662283
374,-56.390376868035
375,-56.3842733528421
376,-56.7626912948074
377,-56.4544637775614
378,-55.9387167437538
379,-56.753536022018
380,-56.3598592920701
381,-56.5765340814212
382,-56.7199666884565
383,-56.5643270510353
384,-56.710811415667
385,-56.747432506825
386,-56.9000203866497
387,-56.9335897202112
388,-56.8420369923163
389,-57.0617635392639
390,-57.3669392989135
391,-56.8084676587549
392,-57.5836140882646
393,-56.4849813535264
394,-55.8135946822975
395,-56.8145711739479
396,-57.0037801449305
397,-57.3059041469836
398,-57.0281942057025
399,-57.1227986911939
400,-57.5500447547032
401,-57.0037801449305
402,-57.3669392989135
403,-57.1594197823518
404,-57.1624715399483
405,-57.2021443887027
406,-57.3547322685275
407,-57.4737508147908
408,-57.4859578451768
409,-57.3974568748784
410,-58.0718953037038
411,-57.8216511807912
412,-57.3791463292994
413,-57.6934773617384
414,-57.4890096027733
415,-57.5592000274926
416,-57.6019246338436
417,-57.931514454265
418,-57.333369965352
419,-57.1655232975448
420,-57.1533162671588
421,-56.3690145648596
422,-56.9915731145446
423,-57.333369965352
424,-56.9274862050182
425,-58.0413777277389
426,-57.3730428141064
427,-57.9986531213879
428,-57.6629597857735
429,-57.5836140882646
430,-55.7830771063325
431,-54.5806846133135
432,-55.2459677693494
433,-55.4016074067707
434,-55.3131064364723
435,-56.6070516573862
436,-56.710811415667
437,-56.0729940779996
438,-56.7962606283689
439,-56.9671590537726
440,-55.1452597686651
441,-53.2348595132592
442,-53.2470665436452
443,-54.2907676416465
