"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
107,204.8,0.999999930150807
107,205.3,0.999999930150807
107,205.8,0.999999930150807
107,207.9,0.999999930150807
107,208.2,0.999999930150807
107,211.6,0.999999930150807
107,211.9,0.999999930150807
107,213.4,0.999999930150807
107,214.5,0.999999930150807
107,215.2,0.999999930150807
107,216,0.999999930150807
107,217.4,0.999999930150807
107,218.9,0.999999930150807
107,222.5,0.999999930150807
107,223.7,0.999999930150807
107,224.4,0.999999930150807
107,224.8,0.999999930150807
107,225.1,0.999999930150807
107,225.6,0.999999930150807
107,226.6,0.999999930150807
107,226.8,0.999999930150807
107,227.4,0.999999930150807
107,228,0.999999930150807
107,228.8,0.999999930150807
107,230.3,0.999999930150807
107,230.6,0.999999930150807
107,231,0.999999930150807
107,233.5,0.999999930150807
107,235.3,0.999999930150807
107,236.7,0.999999930150807
107,237.2,0.999999930150807
107,246.8,0.999999930150807
107,247.5,0.999999930150807
107,248.2,0.999999930150807
107,249.7,0.999999930150807
107,250.4,0.999999930150807
107,251.1,0.999999930150807
107,252.6,0.999999930150807
107,252.8,0.999999930150807
107,253.3,0.999999930150807
108,17,0.999999930150842
108,17.5,0.999999930150842
108,18.2,0.999999930150842
108,18.6,0.999999930150842
108,19.1,0.999999930150842
108,19.6,0.999999930150842
108,23.7,0.999999930150842
108,26.4,0.999999930150842
108,28.5,0.999999930150842
108,81.2,0.999999930150842
109,18.3,0.999999930150771
109,21.8,0.999999930150771
109,23.4,0.999999930150771
109,95.3,0.999999930150771
