"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
424,214.300000000003,-4.88281215410782
425,191.799999999988,-4.88281215552891
426,240.449999999997,-4.88281215552902
427,214.800000000003,-5.49316367337127
428,10.0499999999884,-4.27246063608777
429,198.199999999997,-4.88281215552888
430,189.649999999994,-5.49316367496999
431,206.099999999991,-4.88281215410787
432,241.950000000012,-5.49316367337131
433,205.5,-5.49316367337127
434,218.149999999994,-4.88281215552888
435,195.449999999997,-4.88281215410787
436,169.300000000003,-4.88281215410782
437,220.049999999988,-5.49316367496999
438,175.899999999994,-4.8828121541078
439,199.25,-4.8828121541078
440,131.200000000012,-4.8828121541078
441,214.849999999991,-4.88281215552888
442,224.650000000009,-4.8828121541078
443,192.25,-5.49316367337134
