"Sweep (n)","Ediast (mV)"
293,-47.5158657774275
294,-46.5240445585666
295,-44.6472136367222
296,-41.6015595554202
297,-38.3880588063109
298,-47.9736294169018
299,-48.9715541509556
300,-50.9948694374318
301,-49.2980922137806
302,-48.5992397241832
303,-47.3968472311642
304,-46.0754361918819
305,-44.5648161816168
306,-42.9168670795095
307,-42.9656952010534
308,-43.6004607811244
309,-44.6441618791257
310,-46.3592496483559
311,-49.6093714886231
312,-48.147579599902
313,-48.7304653008325
314,-46.3867154667244
315,-46.3439908603734
316,-45.8038297657938
317,-45.4589811573899
318,-45.8404508569517
319,-42.2027558019297
320,-46.3409391027769
321,-44.74486987981
322,-47.7874722035156
323,-47.1221890474797
324,-47.8668179010244
325,-46.1791959501627
326,-46.4721646794262
327,-41.8609589511222
328,-40.9088105810158
329,-41.2109345830688
330,-43.1945770207906
331,-44.5861784847923
332,-44.2504851491778
333,-47.0306363195848
334,-49.7467005804654
335,-49.8138392475883
336,-48.8311733015169
337,-47.4151577767432
338,-46.7315640751283
339,-44.5495573936344
340,-42.8497284123866
341,-41.421505857227
342,-41.729733374473
343,-44.0948455117566
344,-44.2199675732129
345,-45.8648649177237
346,-48.3154262677092
347,-48.9440883325872
348,-48.9990199693241
349,-48.431393056376
350,-47.1923794721991
351,-44.128414845318
352,-46.5606656497246
353,-44.6014372727748
354,-44.0673796933881
355,-42.1874970139472
356,-45.2270475800563
357,-48.0041469928667
358,-49.6398890645881
359,-50.7507288297122
360,-49.5574916094827
361,-49.6337855493951
362,-47.3968472311642
363,-45.2514616408282
364,-43.826290843265
365,-41.6717499801396
366,-43.2647674455099
367,-43.1976287783871
368,-41.8151825871748
369,-49.035641060482
370,-50.5126917371856
371,-51.4862024104675
372,-48.6022914817797
373,-46.2707486780575
374,-46.1242643134258
375,-46.1852994653557
376,-44.6655241823012
377,-46.8048062574442
378,-45.4559293997934
379,-44.8608366684768
380,-49.041744575675
381,-50.9338342855019
382,-50.1892054319572
383,-49.0753139092365
384,-48.0163540232527
385,-48.1445278423055
386,-45.3491178839161
387,-46.008297524759
388,-43.6614959330543
389,-46.9543423796724
390,-46.5240445585666
391,-47.7966274763051
392,-49.1790736675173
393,-49.8535120963427
394,-50.7629358600982
395,-48.8098109983414
396,-49.0966762124119
397,-48.4832729355164
398,-47.9766811744983
399,-48.0743374175861
400,-46.1547818893907
401,-45.7916227354078
402,-45.4498258846004
403,-44.0551726630022
404,-46.6674771656019
405,-50.3478968269749
406,-50.9643518614669
407,-50.8392298000106
408,-48.2299770550074
409,-49.1546596067453
410,-47.4578823830941
411,-38.2598849872581
412,-38.2904025632231
413,-42.1966522867367
414,-51.3763391369937
415,-52.0080529594682
416,-48.6144985121657
417,-49.4873011847633
418,-48.6144985121657
419,-45.8007780081973
420,-45.8099332809868
421,-44.9584929115647
422,-46.4508023762507
423,-44.2901579979323
424,-43.9941375110723
425,-47.4639858982871
426,-49.1729701523243
427,-49.1485560915524
428,-49.0203822724996
429,-47.7264370515857
430,-47.6898159604277
431,-44.9401823659857
432,-44.5434538784414
433,-43.5577361747735
434,-40.2404756673834
435,-41.0980195519985
