File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,SD2,SD1_SD2 Ratio,APD 20 (ms),APD 50 (ms),APD 80 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
18716055,-80.703994362891,67.4749952869259,148.178989649817,338.599976349064,-54.1999962141736,0.183847763108502,1.453,0.126529775023057,1.65,15.56,57.92,72.52,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18711043,-70.0954951038861,44.4999968917111,114.595491995597,240.549983197777,-25.9090890993618,0.0188561808316414,0.609,0.0309625301012174,1.13,5.8,20.63,30.44,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18711047,-71.1614950294269,58.1499959382696,129.311490967696,308.149978475971,-38.7499972933442,0.0259272486435063,0.649833333333333,0.0398983051708227,1.21,9.42,24.41,32.48,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18711051,-71.6314949965978,66.2299953738882,137.861490370486,285.59998005107,-74.149994820682707,0.0188561808316415,0.435777777777778,0.0432701752893353,0.48,3.33,14.17,21.78,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18711055,-74.1879948180283,46.8299967289624,121.017991546991,297.249979237328,-31.4999977997506,0.0306412938514171,0.539166666666667,0.0568308386734165,0.919999999999999,4.57,17.4,26.97,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18711059,-73.2064948865853,48.2149966322213,121.421491518807,329.749976967234,-22.299998442363002,0.0235702260395512,0.629222222222222,0.0374593032590431,1.7,8.05,22.86,31.47,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18711072,-73.1044636437121,58.7149958988048,131.819459542517,327.199977145348,-45.7499968043996,0.0235702260395518,0.533333333333333,0.0441941738241595,0.75,5.33,18.11,26.69,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18712050,-71.4229950111613,46.1399967771584,117.56299178832,10.6999992526136,-31.0499978311825,0.0094280904158206,0.404888888888889,0.0232856239688215,1,4.53,13.65,20.24,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18712054,-76.4179946622646,55.9249960936841,132.342990755949,317.399977829865,-43.649996951083,0.0164991582276864,0.493277777777778,0.0334480063180939,0.820000000000001,6.69,18.63,24.67,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18712063,-72.7114949211606,64.1749955174282,136.886490438589,296.149979314162,-44.8999968637712,0.0377123616632829,0.83955555555555506,0.0449194355438785,1.83,14.42,33.96,42.02,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18712067,-75.1229947527193,61.3199957168477,136.442990469567,290.949979677381,-44.8499968672636,0.0212132034355969,0.787166666666667,0.0269488080909552,1.34,11.91,30.61,39.38,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18712073,-75.2484947439532,55.4349961279102,130.683490871863,264.349981535367,-53.5999962560834,0.00707106781186591,0.316722222222222,0.0223257710250108,0.62,3.49,10.97,15.84,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18713034,-80.9439943461272,52.469996335013,133.41399068114,325.349977274564,-44.8999968637712,0.0424264068711926,0.869666666666666,0.0487846763562966,0.93,10.5,34.76,43.44,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18713039,-77.998494551868,55.3399961345458,133.338490686414,343.849975982355,-45.4499968253544,0.0400693842672376,0.678944444444444,0.0590171767294229,0.87,7.59,27.2,33.98,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18713045,-72.8249949132328,51.2849964177843,124.109991331017,263.699981580767,-34.0499976216349,0.0824957911384307,1.02172222222222,0.0807418976940761,1.68,12.3,40.83,51.11,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18716030,-86.5214939565433,61.129995730119,147.651489686662,290.349979719288,-75.7499947089235,0.042426406871193,0.925111111111111,0.0458608769926419,0.52,6.73,34.11,46.26,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18716034,-85.6119940200712,58.1949959351264,143.806989955198,292.249979586574,-85.0499940593268,0.0282842712474619,0.433,0.0653216426038381,0.45,2.72,13.64,21.66,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18716043,-88.1194938449243,58.1299959396666,146.249489784591,297.899979191925,-53.5499962595758,0.0377123616632826,0.710555555555555,0.0530744730210388,0.93,9.99,28.45,35.51,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
18716047,-78.0544945479564,39.9099972123188,117.964491760275,270.249981123256,-17.6499987671618,0.0471404520791032,0.87,0.0541844276771301,2.1,9.01,31.08,43.51,RN_CTR_2744_7.1Hz,RN,CTR,2744,7.1Hz
