"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Parameter","Operator","Value"
"76","18704047","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",4.35850399199945
"77","18704052","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",4.1517050525631
"78","18704056","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",5.22805780423027
"79","18710042","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",5.91144561296844
"80","18710046","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",7.89167180752554
"81","18710050","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",6.20407152716691
"82","18703042","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",10.4948234477686
"83","18703046","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",8.7511497015475
"84","18703053","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",7.38982965478829
"85","18703057","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",7.31094225322357
"86","18703060","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",7.25350875067746
"87","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",26.0815209982735
"88","18704034","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",7.54548797023001
"89","18704040","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",6.68112616238403
"90","18704044","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",11.3373802419881
"91","18704048","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",7.13850153088592
"92","18704053","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",9.72165967032239
"93","18704057","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",8.91588750134858
"94","18710039","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",9.12025564719385
"95","18710043","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",8.26314492444182
"96","18710047","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",5.85986701053411
"97","18710051","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",8.00982183357286
"98","18703043","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",10.2815236458482
"99","18703047","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",8.39158460242128
"100","18703054","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",9.22138120020547
"101","18703061","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",9.36677289409651
"102","18704035","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",8.04340791273916
"103","18704045","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",12.1053494651698
"104","18704049","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",8.72262614940586
"105","18704054","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",9.02524429095569
"106","18704058","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",8.26043857021151
"107","18710040","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",11.2408845191133
"108","18710044","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",7.52945519535069
"109","18710048","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",12.8988501479024
"110","18710052","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",9.0767358845433
"111","18711046","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 50 (ms)","Value",0.893667279411765
"112","18712049","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 50 (ms)","Value",1.13257575757576
"113","18713033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 50 (ms)","Value",0.892480769230769
"114","18716033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 50 (ms)","Value",0.890459363957597
"115","18711055","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","APD 50 (ms)","Value",0.735229759299781
"116","18712067","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","APD 50 (ms)","Value",1.22753988245172
"117","18716047","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","APD 50 (ms)","Value",0.897603773584906
"118","18703040","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","APD 50 (ms)","Value",1.13496905393457
"119","18704026","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","APD 50 (ms)","Value",0.873230373230373
"120","18704042","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","APD 50 (ms)","Value",0.870952380952381
"121","18710049","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","APD 50 (ms)","Value",0.827832792207792
"122","18704043","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 50 (ms)","Value",0.807312083729781
"123","18704056","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 50 (ms)","Value",0.866241961414791
"124","18703042","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 50 (ms)","Value",1.23018534863195
"125","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 50 (ms)","Value",76.7745
"126","18704034","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 50 (ms)","Value",1.1240518707483
"127","18704041","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","APD 50 (ms)","Value",1.10241441441441
"128","18716029","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 90 (ms)","Value",0.893037231889923
"129","18716033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 90 (ms)","Value",0.882961350027218
"130","18711072","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","APD 90 (ms)","Value",0.888722367928063
"131","18710049","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","APD 90 (ms)","Value",0.61583966095709
"132","18703049","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 90 (ms)","Value",1.172822265625
"133","18704043","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 90 (ms)","Value",0.831995826218934
"134","18710037","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 90 (ms)","Value",0.885151162790698
"135","18703042","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 90 (ms)","Value",1.19852826256838
"136","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 90 (ms)","Value",6.272624
"137","18704045","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","APD 90 (ms)","Value",1.2624780144616
"138","18704058","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","APD 90 (ms)","Value",0.895241779497099
