"Time (ms)","Sweep 19. Voltage (mV)","Sweep 20. Voltage (mV)","Sweep 21. Voltage (mV)","Sweep 22. Voltage (mV)","Sweep 23. Voltage (mV)"
575,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
575.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.39208678529,-64.39208678529
576,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
576.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.39208678529,-64.39208678529
577,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
577.5,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
578,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.39208678529,-64.39208678529
578.5,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.39208678529
579,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.6972625520449,-64.6972625520449
579.5,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.6972625520449,-64.39208678529
580,-64.0869110185351,-64.0869110185351,-65.0024383187999,-64.6972625520449,-64.6972625520449
580.5,-64.6972625520449,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.39208678529
581,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
581.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.6972625520449
582,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.6972625520449
582.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.6972625520449
583,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
583.5,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.6972625520449
584,-64.6972625520449,-64.0869110185351,-65.0024383187999,-64.6972625520449,-64.39208678529
584.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
585,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
585.5,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
586,-64.39208678529,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.39208678529
586.5,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
587,-64.6972625520449,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
587.5,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
588,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
588.5,-64.39208678529,-64.39208678529,-65.0024383187999,-64.6972625520449,-64.39208678529
589,-64.6972625520449,-64.39208678529,-64.6972625520449,-64.6972625520449,-64.0869110185351
589.5,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
590,-64.39208678529,-64.39208678529,-65.0024383187999,-65.0024383187999,-64.39208678529
