"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
16,"APD 90",120.2,-46.2036100109347,5618.6
17,"APD 10",19.5999999999995,36.0412572146062,5833.05
17,"APD 30",44.25,15.4418934382648,5857.7
17,"APD 50",63.5,-5.09643518614669,5876.95
17,"APD 70",88.1499999999996,-25.6347638105582,5901.6
17,"APD 90",118.95,-46.2646451628646,5932.4
18,"APD 10",17.8500000000004,35.3393529674124,6158.4
18,"APD 30",41.9499999999998,14.9536122228256,6182.5
18,"APD 50",60.75,-5.55419882562094,6201.3
18,"APD 70",86.9499999999998,-25.8483868423128,6227.5
18,"APD 90",119.400000000001,-46.2036100109347,6259.95
19,"APD 10",18.8500000000004,34.973142055833,6468.45
19,"APD 30",42.8000000000002,14.8010243430009,6492.4
19,"APD 50",62.75,-5.40161094579619,6512.35
19,"APD 70",87.1999999999998,-25.6652813865231,6536.8
19,"APD 90",120.25,-45.8984342512852,6569.85
20,"APD 10",17.75,35.0341772077629,6801
20,"APD 30",41.8000000000002,15.0146473747555,6825.05
20,"APD 50",62.8500000000004,-4.97436488228689,6846.1
20,"APD 70",87.3000000000002,-24.9328595633643,6870.55
20,"APD 90",118.25,-44.9218718204067,6901.5
21,"APD 10",16.75,34.3933081124989,7087.9
21,"APD 30",41.6499999999996,14.2211903996668,7112.8
21,"APD 50",62.5,-5.76782185737559,7133.65
21,"APD 70",86.4499999999998,-25.7873516903829,7157.6
21,"APD 90",119.25,-45.8679166753202,7190.4
22,"APD 10",18.3499999999995,34.0576147768845,7407.8
22,"APD 30",45.75,14.099120095807,7435.2
22,"APD 50",66.3499999999995,-5.92040973720035,7455.8
22,"APD 70",91.6999999999998,-25.9399395702077,7481.15
22,"APD 90",122.9,-45.8679166753202,7512.35
23,"APD 10",15.8500000000004,33.72192144127,7689.4
23,"APD 30",42.8500000000004,13.7939443361575,7716.4
23,"APD 50",65.6499999999996,-6.2561030728148,7739.2
23,"APD 70",92.5500000000002,-26.1535626019624,7766.1
23,"APD 90",121.75,-46.1425748590048,7795.3
24,"APD 10",17.3999999999996,34.2712378086391,8000.3
24,"APD 30",44.3499999999995,14.129637671772,8027.25
24,"APD 50",67,-6.0119624650952,8049.9
24,"APD 70",90.4499999999998,-26.0925274500324,8073.35
24,"APD 90",122.25,-46.2341275868996,8105.15
25,"APD 10",17.3500000000004,33.3557105296906,8286.45
25,"APD 30",46.0500000000011,13.8854970640524,8315.15
25,"APD 50",68.6500000000015,-5.61523397755084,8337.75
25,"APD 70",93.2000000000007,-25.2075177470489,8362.3
25,"APD 90",120.1,-44.7082487886521,8389.2
26,"APD 10",17.5499999999993,33.6303687133752,8587.05
26,"APD 30",47.4499999999989,13.6108388803678,8616.95
26,"APD 50",71.75,-6.28662064877975,8641.25
26,"APD 70",97,-26.2756329058222,8666.5
26,"APD 90",125.199999999999,-46.2341275868996,8694.7
27,"APD 10",17.9499999999989,33.6608862893401,8895.85
27,"APD 30",45.6999999999989,13.7634267601926,8923.6
27,"APD 50",70.1499999999996,-6.16455034491995,8948.05
27,"APD 70",96.6000000000004,-26.1535626019624,8974.5
27,"APD 90",131.25,-46.0815397070749,9009.15
28,"APD 10",18.75,33.2641578017958,9200.6
28,"APD 30",46.6500000000015,13.7023916082627,9228.5
28,"APD 50",68.8000000000011,-5.82885700930549,9250.65
28,"APD 70",93.4000000000015,-25.3601056268736,9275.25
28,"APD 90",121.75,-44.9218718204067,9303.6
29,"APD 10",19.3999999999996,33.0505347700411,9485.15
29,"APD 30",49.8999999999996,13.3056631207183,9515.65
29,"APD 50",72.5999999999985,-6.53076125649935,9538.35
29,"APD 70",96.6999999999989,-26.2451153298572,9562.45
29,"APD 90",127.15,-45.9289518272501,9592.9
30,"APD 10",17.5,32.7148414344267,9759.55
30,"APD 30",44.5,13.0615225129987,9786.55
30,"APD 50",69.75,-6.5612788324643,9811.8
30,"APD 70",96.25,-26.2145977538923,9838.3
30,"APD 90",136.9,-45.8984342512852,9878.95
31,"APD 10",18.1999999999989,33.3251929537257,10085.6
31,"APD 30",49.5499999999993,13.6718740322977,10116.95
31,"APD 50",72.3500000000004,-6.0119624650952,10139.75
31,"APD 70",95.6499999999996,-25.6347638105582,10163.05
31,"APD 90",125.15,-45.3186003079511,10192.55
32,"APD 10",17.8999999999996,33.3557105296906,10388.85
32,"APD 30",49.5,13.7329091842276,10420.45
32,"APD 50",73.0500000000011,-6.0119624650952,10444
32,"APD 70",98.8999999999996,-25.6957989624881,10469.85
32,"APD 90",127.6,-45.410153035846,10498.55
33,"APD 10",16.75,32.8674293142514,10679.65
33,"APD 30",46.6999999999989,13.4277334245781,10709.6
33,"APD 50",68.2999999999993,-6.04248004106015,10731.2
33,"APD 70",91.3500000000004,-25.3906232028386,10754.25
33,"APD 90",122.75,-44.8608366684768,10785.65
34,"APD 10",16.0499999999993,32.7148414344267,10980.2
34,"APD 30",45.25,13.488768576508,11009.4
34,"APD 50",66.8499999999985,-5.70678670544569,11031
34,"APD 70",90.8499999999985,-24.8413068354695,11055
34,"APD 90",125.75,-43.9758269654933,11089.9
35,"APD 10",15.2000000000007,31.3110329400389,11258.15
35,"APD 30",42,13.0004873610688,11284.95
35,"APD 50",63.1499999999996,-5.31005821790134,11306.1
35,"APD 70",84.3999999999996,-23.5900862209065,11327.35
35,"APD 90",115.4,-41.9311493758416,11358.35
36,"APD 10",15.8500000000004,31.6162086996884,11520.7
36,"APD 30",45.6000000000004,12.9089346331739,11550.45
36,"APD 50",66.6499999999996,-5.82885700930549,11571.5
36,"APD 70",90.75,-24.53613107582,11595.6
36,"APD 90",127.6,-43.2434051423345,11632.45
37,"APD 10",14.5499999999993,30.029294749511,11779.5
37,"APD 30",40.5499999999993,12.1459952340502,11805.5
37,"APD 50",62.5499999999993,-5.82885700930549,11827.5
37,"APD 70",86,-23.7731916766962,11850.95
37,"APD 90",119.799999999999,-41.7480439200519,11884.75
38,"APD 10",17.3999999999996,33.5998511374102,12093.7
38,"APD 30",51.3500000000004,14.0075673679122,12127.65
38,"APD 50",74.9499999999989,-5.64575155351579,12151.25
38,"APD 70",98.0499999999993,-25.2685528989788,12174.35
38,"APD 90",126.049999999999,-44.8303190925119,12202.35
39,"APD 10",15.0499999999993,32.9589820421463,12394.85
39,"APD 30",46.9499999999989,13.7634267601926,12426.75
39,"APD 50",71.1499999999996,-5.46264609772609,12450.95
39,"APD 70",95.6999999999989,-24.6887189556447,12475.5
39,"APD 90",128.049999999999,-43.9453093895283,12507.85
40,"APD 10",16.3999999999996,31.0668923323193,12673.6
40,"APD 30",49.2999999999993,12.6953116014193,12706.5
40,"APD 50",71.6000000000004,-5.58471640158589,12728.8
40,"APD 70",96.75,-23.9868147084509,12753.95
40,"APD 90",135.75,-42.2363251354911,12792.95
41,"APD 10",14,27.0996074568758,12937.55
41,"APD 30",35.7999999999993,10.4980461319429,12959.35
41,"APD 50",55.3999999999996,-6.28662064877975,12978.95
41,"APD 70",78.1499999999996,-23.0102522775725,13001.7
41,"APD 90",114.799999999999,-39.7949190582951,13038.35
42,"APD 10",12.5,25.2990704749437,13178.85
42,"APD 30",32.3500000000004,9.55200127702942,13198.7
42,"APD 50",50.0500000000011,-6.16455034491995,13216.4
42,"APD 70",71.6000000000004,-21.9421371187992,13237.95
42,"APD 90",100.950000000001,-37.6281711647836,13267.3
43,"APD 10",13.3499999999985,29.7851541417914,13450.25
43,"APD 30",40.1999999999989,12.1154776580852,13477.1
43,"APD 50",60,-5.37109336983124,13496.9
43,"APD 70",79.5999999999985,-22.8271468217828,13516.5
43,"APD 90",107,-40.3747530016292,13543.9
44,"APD 10",15.6499999999996,32.1960426430225,13710.1
44,"APD 30",46.75,13.2446279687884,13741.2
44,"APD 50",67.8500000000004,-5.73730428141064,13762.3
44,"APD 70",94.3999999999996,-24.6887189556447,13788.85
44,"APD 90",128.4,-43.6096160539139,13822.85
45,"APD 10",15.5500000000011,30.1208474774059,13983.3
45,"APD 30",43.2000000000007,12.2070303859801,14010.95
