"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Parameter","Operator","Value"
"97","18703056","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",1.50569317052364
"98","18703059","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",1.26263248345862
"99","18704027","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",1.27067524042809
"100","18704033","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",0.52713237859452
"101","18704047","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",0.709523905674327
"102","18704052","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",0.771030938333152
"103","18703042","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.95666199873652
"104","18703046","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.4246057653682
"105","18703053","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.42700158851085
"106","18703060","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.20891812511291
"107","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.73876806655156
"108","18704034","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.42467255381964
"109","18704040","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.40088129211278
"110","18704044","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.4808006846678
"111","18704048","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.40891477583275
"112","18704053","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.53867994782081
"113","18710039","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.70244772080952
"114","18710043","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.52082421922242
"115","18710051","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","SD1","Value",1.27764029247174
"116","18703043","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.43160455828266
"117","18703047","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.57790479703648
"118","18703054","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.51881572709267
"119","18703061","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.4550326825781
"120","18704035","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.55943622798004
"121","18704045","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.57584430907536
"122","18704049","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.49920136942913
"123","18704054","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.57417051586438
"124","18704058","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.57699281794946
"125","18710040","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.49878460254846
"126","18710044","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.49232445313256
"127","18710048","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.23380305762545
"128","18710052","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","SD1","Value",1.26065776174216
"129","18711036","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","APD 50 (ms)","Value",0.644168604651163
"130","18711052","RN_CTR_2744_1Hz","RN","CTR","2744","1Hz","APD 50 (ms)","Value",1.11827956989247
"131","18711037","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","APD 50 (ms)","Value",1.2
"132","18716032","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","APD 50 (ms)","Value",0.815068493150685
"133","18716050","RN_CTR_2744_2Hz","RN","CTR","2744","2Hz","APD 50 (ms)","Value",0.894070915619389
"134","18716033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","APD 50 (ms)","Value",0.802547770700637
"135","18711055","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","APD 50 (ms)","Value",0.736842105263158
"136","18712067","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","APD 50 (ms)","Value",1.31711711711712
"137","18716047","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","APD 50 (ms)","Value",0.892650110375276
"138","18703041","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 50 (ms)","Value",0.859710344827586
"139","18704043","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","APD 50 (ms)","Value",0.831033300685602
"140","18703042","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 50 (ms)","Value",0.894608472400514
"141","18703057","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 50 (ms)","Value",0.847391857506361
"142","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 50 (ms)","Value",76.7745
"143","18710043","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APD 50 (ms)","Value",0.877200534759358
"144","18704029","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","APD 50 (ms)","Value",78.1377500000002
"145","18710044","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","APD 50 (ms)","Value",0.746665447897623
