"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)","Folder","Condition 1","Condition 2","Condition 3","Condition 4"
"18716028",-82.964994204962,68.5999952083456,151.564989413308,319.899977655245,-76.5999946495532,0.45254833995939,2.90488888888889,0.155788519722862,0.499999999999998,7.16,42.56,"RN_CTR_2744_2Hz","RN","CTR","2744","2Hz"
"18716032",-83.0719941974881,56.4099960598072,139.481990257295,387.199972954395,-53.8333295731183,0.131993265821489,1.13911111111111,0.11587391654247,0.6,2.92,17.18,"RN_CTR_2744_2Hz","RN","CTR","2744","2Hz"
"18716036",-83.1399941927384,62.8199956120739,145.959989804812,366.999974365349,-43.8999969336207,0.308769961118127,2.36205555555556,0.13072087165431,1.2,9.68,36.06,"RN_CTR_2744_2Hz","RN","CTR","2744","2Hz"
"18716040",-81.3709943163016,54.0499962246513,135.420990540953,377.499973631931,-26.4999981489966,0.553900311929461,2.52694444444444,0.219197661091135,2,11.12,37.66,"RN_CTR_2744_2Hz","RN","CTR","2744","2Hz"
"18716045",-84.3439941086399,49.4399965466561,133.783990655296,388.599972856601,-21.7499984807802,0.351196367989318,2.23738888888889,0.156967065374016,1.8,8.86,32.14,"RN_CTR_2744_2Hz","RN","CTR","2744","2Hz"
"18716050",-82.9399942067082,60.439995778315,143.379989985023,396.599972297806,-38.4999973108063,0.21448905695992,2.42238888888889,0.0885444355956827,1.3,11.14,38.3,"RN_CTR_2744_2Hz","RN","CTR","2744","2Hz"
"18716054",-78.1439945417049,70.339995086808,148.483989628513,305.299978675039,-49.79999652151,1.0983725334431,4.03622222222222,0.272128855392499,1.1,13.94,67.16,"RN_CTR_2744_2Hz","RN","CTR","2744","2Hz"
"18711038",-73.1969948872489,74.1599948199841,147.356989707233,226.399984186143,-89.8999937205582,0.122565175405668,1.426,0.0859503333840592,0.479999999999999,2.78,21.42,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18711042",-73.9909948317886,54.0999962211588,128.090991052947,325.199977285042,-34.4999975902031,0.115494107593803,1.75616666666667,0.0657648899651531,0.92,5.62,26.34,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
"18711046",-69.4559951485547,57.9299959536364,127.385991102191,341.29997616047,-34.7999975692483,0.195632876128279,2.32016666666667,0.0843184582120302,1.42,10.1,34.12,"RN_CTR_2744_4Hz","RN","CTR","2744","4Hz"
