"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"18713004","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-73.2139948860614
"18713008","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-77.3449945975144
"18713012","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-75.7389947096922
"18713017","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-78.2879945316466
"18713021","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-75.5029947261766
"18713025","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-81.3699943163714
"18716001","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-80.4579943800739
"18716005","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-84.6969940839832
"18716009","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-80.378994385592
"18716016","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-77.5239945850114
"18716020","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-87.517931386943
"18716023","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-82.0459942691534
"18711001","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-74.7829322764724
"18711006","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-69.6289951364708
"18711020","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-78.6099945091552
"18711024","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-76.0999946844767
"18711028","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-78.1959945380728
