Exp,Cell,Cm,Rs,File Name,APD 90 (ms),APD 50 (ms),APD 20 (ms),Ediast (mV),dV/dt max y (V/s),Peak (mV),Condition 1,Condition 2,Condition 3,Condition 4,Folder
Cvie_216_APD2,14,81.8,3.9,18d12052,215.172,192.413,101.792,-79.151,153.554,54.4383,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD3,1,111.2,3.2,19307004,201.682,178.027,76.3543,-72.7751,219.476,54.9825,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD3,2,119.3,5.1,19307005,151.94,130.077,41.7442,-73.8926,310.703,53.832,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD3,3,106.6,3.3,19307009,162.829,143.272,69.9074,-83.1131,237.739,53.0487,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD4,2,102,3.6,10314011,345.226,320.988,209.323,-69.2129,232.696,56.3202,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD1,4,103.5,3.5,18d03012,134.773,116.022,55.1068,-77.2585,202.168,57.9498,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD1,5,103.5,3.5,18d03016,139.572,119.879,48.41,-84.428,301.182,53.3783,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD1,6,234.5,3,18d03020,160.668,137.227,60.3642,-83.3055,260.439,54.3304,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD2,6,74.85,2.9,18d12021,146.152,122.058,53.9385,-79.9625,188.923,54.3172,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD2,7,92.5,3.3,18d12025,123.316,91.9033,28.5617,-82.3394,236.103,49.3693,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD2,14,81.8,3.9,18d12053,189.675,165.118,76.983,-79.8355,178.003,53.3356,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD3,1,111.2,3.2,19307005,191.574,173.083,77.0947,-66.4373,134.887,51.3,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD3,2,119.3,5.1,19307006,170.94,144.785,50.4,-83.2181,329.797,52.7842,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD3,3,106.6,3.3,19307010,152.472,137.335,62.465,-72.1236,142.257,53.2054,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD4,2,102,3.6,10314012,262.361,236.278,131.399,-68.8354,212.198,55.2165,GP,CTRL,Tyr,1Hz,GP_CTRL_Tyr_1Hz
Cvie_216_APD1,4,103.5,3.5,18d03013,110.365,88.504,32.8738,-76.2322,222.29,55.7485,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD1,5,103.5,3.5,18d03017,101.452,82.5263,28.0401,-83.5919,347.85,51.9236,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD1,6,234.5,3,18d03021,153.561,127.037,48.9805,-82.4048,247.593,54.5492,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD2,6,74.85,2.9,18d12022,123.913,101.417,42.8192,-79.5929,220.617,52.2725,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD2,7,92.5,3.3,18d12026,114,84.6635,27.0703,-83.4943,260.422,48.1923,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD2,14,81.8,3.9,18d12054,121.26,91.9455,33.1677,-77.2492,96.3441,49.4476,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD3,1,111.2,3.2,19307007_2,112.003,90.3496,37.077,-73.8388,150.91,50.5269,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD3,2,119.3,5.1,19307007,144.657,117.253,39.8377,-82.8074,292.796,51.356,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD3,3,106.6,3.3,19307011,142.321,123.478,56.9909,-80.8108,226.456,52.123,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD4,2,102,3.6,10314013,116.909172,92.4791641,37.5991,-67.0466,190.785889,52.6021,GP,CTRL,Tyr,2Hz,GP_CTRL_Tyr_2Hz
Cvie_216_APD1,4,103.5,3.5,18d0304,91.2688,67.7558,26.6068,-76.5096,290.207,54.3111,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD1,5,103.5,3.5,18d03018,72.5656,53.7483,18.3825,-82.5752,171.244,49.6033,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
