"Sweep (n)","RR (ms)"
252,380.300000000003
253,363.5
254,342
255,370.649999999994
256,346.699999999997
257,380.850000000006
258,378
259,377.100000000006
260,393.149999999994
261,409.75
262,372.350000000006
263,394.5
264,387.099999999991
265,369.050000000003
266,382.949999999997
267,361.600000000006
268,400.050000000003
269,372.299999999988
270,384.400000000009
271,404.5
272,380.149999999994
273,382.449999999997
274,382.700000000012
275,374.649999999994
276,372.800000000003
277,389.550000000003
278,370.75
279,420.299999999988
280,398.150000000009
281,383.849999999991
282,374.300000000003
283,404.550000000003
284,417.850000000006
285,370.049999999988
286,411.700000000012
287,385.799999999988
288,371.800000000003
289,383.199999999997
290,399.400000000009
291,384.199999999997
292,403.25
293,400.5
294,390.149999999994
295,403
296,396.350000000006
297,418.050000000003
298,399.050000000003
299,407.5
300,361.299999999988
301,405.350000000006
302,377.800000000003
303,353.949999999997
304,406.800000000003
305,372
306,365.550000000003
307,363.849999999991
308,403.300000000003
309,380.100000000006
310,376.049999999988
311,419.900000000009
312,404.899999999994
313,408.199999999997
314,419.800000000003
315,386.649999999994
316,393.300000000003
317,394.300000000003
318,402
319,368.75
320,368.75
321,404.300000000003
322,383.349999999991
323,393.350000000006
324,384.050000000003
325,386.949999999997
326,405.850000000006
327,381.349999999991
328,397.100000000006
329,392.649999999994
330,382.100000000006
331,401.349999999991
332,400.550000000017
333,384.25
334,419.5
335,407.549999999988
336,391.549999999988
337,393.25
338,392.200000000012
339,396.399999999994
340,420.649999999994
341,411.900000000023
342,419.5
343,430.049999999988
344,446.100000000006
345,394.850000000006
346,398.149999999994
347,385.649999999994
348,391.100000000006
349,424.350000000006
350,397.699999999983
351,417.450000000012
352,430.75
353,418.899999999994
354,417.100000000006
355,485.049999999988
356,388.100000000006
357,418.25
358,428.75
359,419.049999999988
360,419.850000000006
361,491.850000000006
362,411.649999999994
363,445.399999999994
364,447.650000000023
365,417.449999999983
366,427.950000000012
367,428.399999999994
368,413.649999999994
369,387.75
370,414.149999999994
371,433.150000000023
372,413.75
373,417.549999999988
374,418.649999999994
375,388.100000000006
376,431.450000000012
377,440.899999999994
378,450.5
379,430.149999999994
380,435.75
381,449.049999999988
382,424.650000000023
383,422.849999999977
384,422.700000000012
385,422.100000000006
386,400.549999999988
387,400.399999999994
388,467.450000000012
389,408.850000000006
