"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-11.8001296478573
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-11.683872212903
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-19.0429678455076
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-17.089842938276
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",9.13346259032624
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",7.78995970607179
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",4.38406204335659
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",14.4249783362056
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",0.565685424949238
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",3.53553390593274
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",9.47523086789974
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",2.54558441227157
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",0.353553390593282
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",0.424264068711929
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1",0.0707106781186548
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",21.6963930694072
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",7.16534871602368
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",7.88424061023001
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",53.9993878566127
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",2.5809397513309
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",3.88908729652602
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",5.65685424949238
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",2.86378246380552
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",1.76776695296637
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1",0.459619407771258
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.281273946360153
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.160948275862069
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.470000000000001
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",2.28
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.04
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.32
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.71
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.819999999999999
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.0500000000000011
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.1
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD2",0.02
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.48522030651341
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.179061302681992
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.11617816091954
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",1.19865900383142
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.0604501915708812
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.107490421455939
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.161704980842912
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.125431034482759
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.0700574712643678
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD2",0.0172892720306514
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",32.4717689232099
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",48.400392389091
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",9.32779158160976
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",6.32674488430069
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",14.1421356237309
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",11.0485434560398
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",13.3453955885912
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",3.10437123447753
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",7.07106781186548
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",4.24264068711929
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","SD1_SD2 Ratio",3.53553390593274
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",44.7145199369508
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",40.0161766316932
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",67.8633621657195
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",45.049832924967
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",42.6953113672866
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",36.1807800532272
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",34.9825603392373
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",22.8315302956316
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",25.2330967855741
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","SD1_SD2 Ratio",26.5840809813403
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",2
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",2.7
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APD 20 (ms)",2.59999999999999
