"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"18d12023","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-78.6378191405047
"18d12027","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-82.0867327918127
"18d12055","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-79.3621233559129
"19307008 2","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-67.704464557648
"19307008","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-82.8590716762633
"19307012","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-75.0620744316743
"19314014","GP_CTRL_Tyr_4Hz","GP","CTRL","Tyr","4Hz","Ediast (mV)",-65.9979216699544
"17421003","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",62.8973402730526
"17421040","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",56.8035901368467
"17502010","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",67.6135269019051
"17n30003","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",51.1474585081261
"17n30007","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",59.5703096705621
"17n30012","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",57.8002902233835
"18215005","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",55.9423840629097
"18215021","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",50.2880870615263
"18215028","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",46.2921152925219
"18215032","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",53.1317150547739
"18215048","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.9926770104321
"18215062","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",58.1939710272991
"18215067","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",41.4385995590374
"18d03011","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",58.5974134191293
"18d03015","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.5733654776223
"18d03019","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",55.3344738930719
"18d12020","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.6698010266528
"18d12024","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",51.2280284887857
"18d12052","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.5599377429471
"19307004","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.5654270957813
"19307005","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",54.1986096098708
"19307009","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",53.6157238546548
"19314011","GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz","Peak (mV)",58.3007784808616
"17421004","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",61.9512953300319
"17421041","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.8260510301452
"17502011","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",67.081910679085
"17n30004","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",60.05859089737
"17n30008","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",57.1899386898737
"17n30013","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",57.3730441499266
"18215006","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",54.2688000411272
"18215022","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",49.5477305996656
"18215029","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",44.9774179975111
"18215033","GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz","Peak (mV)",50.6585704682448
