"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
39,"APD 90",521.700000000012,-35.8886693347815,110335.2
40,"APD 20",26.5,-11.627196442646,112243
40,"APD 50",81.25,-22.0336898466941,112297.75
40,"APD 90",553.050000000003,-35.8581517588165,112769.55
41,"APD 20",27.8000000000029,-12.26806553791,114437.4
41,"APD 50",82.3000000000029,-22.3388656063436,114491.9
41,"APD 90",539.600000000006,-35.9191869107464,114949.2
42,"APD 20",26.25,-12.6037588735244,116631.5
42,"APD 50",87.5,-22.5524886380982,116692.75
42,"APD 90",551.050000000003,-35.7665990309217,117156.3
43,"APD 20",27.0500000000029,-12.4816885696646,118967.1
43,"APD 50",80.1999999999971,-22.2778304544137,119020.25
43,"APD 90",492.25,-35.4614232712722,119432.3
44,"APD 20",27.3000000000029,-11.7797843224708,121280.4
44,"APD 50",79.1000000000058,-21.9116195428343,121332.2
44,"APD 90",524.550000000003,-35.4309056953072,121777.65
45,"APD 20",25.6000000000058,-11.657714018611,123553.55
45,"APD 50",78.3000000000029,-22.0336898466941,123606.25
45,"APD 90",530.950000000012,-35.9802220626763,124058.9
46,"APD 20",26.6500000000087,-12.1765128100151,125753.35
46,"APD 50",83.8500000000058,-22.2167953024838,125810.55
46,"APD 90",501.650000000009,-35.7665990309217,126228.35
47,"APD 20",26.9499999999971,-11.7187491705409,127845.1
47,"APD 50",85.1499999999942,-22.064207422659,127903.3
47,"APD 90",547.899999999994,-36.0107396386413,128366.05
48,"APD 20",28.3999999999942,-12.2985831138749,129930.2
48,"APD 50",87.4499999999971,-22.3388656063436,129989.25
48,"APD 90",548.649999999994,-35.7971166068866,130450.45
49,"APD 20",27.1000000000058,-11.6882315945759,132039.65
49,"APD 50",82.75,-21.8811019668693,132095.3
49,"APD 90",500,-35.583493575132,132512.55
50,"APD 20",27.1999999999825,-11.9934073542254,134060.1
50,"APD 50",90.7999999999884,-22.094724998624,134123.7
50,"APD 90",525.649999999994,-35.6445287270619,134558.55
51,"APD 20",29,-12.2985831138749,136025.55
51,"APD 50",94.2000000000116,-22.0031722707291,136090.75
51,"APD 90",487.600000000006,-34.942624479868,136484.15
52,"APD 20",26.25,-12.4511709936997,137871
52,"APD 50",87.6999999999825,-22.1862777265188,137932.45
52,"APD 90",518.149999999994,-35.1867650875876,138362.9
53,"APD 20",27.3500000000058,-12.7258291773842,139794.55
53,"APD 50",87.75,-22.2167953024838,139854.95
53,"APD 90",507.649999999994,-34.8815893279381,140274.85
54,"APD 20",29.25,-13.7634267601926,141611.9
54,"APD 50",93.1499999999942,-22.6440413659931,141675.8
54,"APD 90",455.25,-34.5153784163587,142037.9
55,"APD 20",33.1000000000058,-13.6718740322977,143435.4
55,"APD 50",100.200000000012,-22.5524886380982,143502.5
55,"APD 90",481,-34.3933081124989,143883.3
56,"APD 20",31,-13.3056631207183,145316.6
56,"APD 50",99.3500000000058,-22.3693831823085,145384.95
56,"APD 90",479.200000000012,-34.5764135682886,145764.8
57,"APD 20",31.4500000000116,-13.9770497919472,147091.05
57,"APD 50",99.0500000000175,-22.5524886380982,147158.65
57,"APD 90",462.700000000012,-33.9965796249546,147522.3
58,"APD 20",28.3500000000058,-14.129637671772,148923.4
58,"APD 50",105.799999999988,-22.5219710621333,149000.85
58,"APD 90",476,-33.72192144127,149371.05
