"Sweep (n)","RR (ms)"
205,345.550000000003
206,337.949999999997
207,362.050000000003
208,366.900000000009
209,337.599999999991
210,337.400000000009
211,338.049999999988
212,351.75
213,326.150000000009
214,336
215,332.050000000003
216,336.049999999988
217,338.300000000003
218,402.25
219,317.150000000009
220,338.899999999994
221,326.949999999997
222,342.050000000003
223,393.149999999994
224,329.200000000012
225,335.5
226,318.099999999991
227,346.400000000009
228,364.649999999994
229,338
230,323.949999999997
231,355.5
232,334.400000000009
233,376.899999999994
234,347.449999999997
235,352.5
236,327.75
237,355.050000000003
238,323.349999999991
239,340.050000000003
240,337.650000000009
241,338.449999999997
242,335.199999999997
243,347.5
244,336.5
245,343.899999999994
246,347.5
247,328.900000000009
248,342.449999999997
249,342.75
250,331
251,377.850000000006
252,362.699999999997
253,334.25
254,345.599999999991
255,360.200000000012
256,327.75
257,331.949999999997
258,336.449999999997
259,338.949999999997
260,329.900000000009
261,344.75
262,331
263,359.099999999991
264,346.850000000006
265,348.099999999991
266,327.900000000009
267,367
268,350.699999999997
269,378.399999999994
270,338.100000000006
271,339.5
272,331.149999999994
273,332.950000000012
274,350.949999999997
275,353.449999999997
276,357.550000000003
277,319.949999999997
278,346.649999999994
279,335.350000000006
280,367.100000000006
281,337
282,347.349999999991
283,414.75
284,334.400000000009
285,353.599999999991
286,370.350000000006
287,338.199999999997
288,342.850000000006
289,353.25
290,338.649999999994
291,350.100000000006
292,347.049999999988
293,359.200000000012
294,372.849999999991
295,393.100000000006
296,362.449999999997
297,355.25
298,349.649999999994
299,371.300000000003
300,355.300000000003
301,365.449999999997
302,348.150000000009
303,349.5
304,374.299999999988
305,346.850000000006
306,339.800000000003
307,343.300000000003
308,395.399999999994
309,382.550000000003
310,341.25
311,331.149999999994
312,372.150000000009
313,342.149999999994
314,329.449999999997
315,352.400000000009
316,349.149999999994
317,352.100000000006
318,335.949999999997
319,384.449999999997
320,349.75
321,347.800000000003
322,353
323,361.099999999991
324,360.300000000003
325,360.850000000006
326,346.550000000003
327,356.25
328,357.549999999988
329,409.600000000006
330,339.350000000006
331,354.949999999997
332,363.300000000003
333,357.649999999994
334,366.25
335,338.699999999997
336,358.149999999994
337,353.200000000012
338,364.75
339,347.899999999994
340,374.050000000003
341,369.399999999994
342,359.25
343,361.5
344,378.949999999997
345,345.700000000012
346,351.149999999994
347,374.5
348,383.300000000003
349,348.149999999994
350,359.600000000006
351,348.899999999994
352,450.150000000009
353,344.349999999991
354,338.300000000003
355,351.75
356,350.600000000006
357,410.649999999994
358,356.75
359,367.899999999994
360,369.25
361,357.300000000017
362,333.449999999983
363,385.450000000012
364,353.899999999994
365,353.75
366,337.450000000012
367,358.25
368,337.899999999994
369,356.399999999994
370,423
371,355.600000000006
372,370.350000000006
373,368.449999999983
374,346.600000000006
375,395.75
376,369.100000000006
377,352.199999999983
378,373.200000000012
379,380.549999999988
380,357.5
381,405.350000000006
382,313.450000000012
383,363.350000000006
384,365.349999999977
385,363.75
386,387.450000000012
387,364.399999999994
388,360.950000000012
389,378.949999999983
390,352.800000000017
391,344.350000000006
392,352
393,355.5
394,384.599999999977
395,350.650000000023
396,352.25
397,354.549999999988
398,380.5
399,354.149999999994
400,353.850000000006
401,360.649999999994
402,369.300000000017
403,364.899999999994
404,398.799999999988
405,379.649999999994
406,350.5
407,357.950000000012
408,374
409,378.350000000006
410,362.100000000006
411,375.199999999983
412,371.050000000017
413,352.399999999994
414,366.350000000006
415,373.349999999977
416,359.75
417,375.5
418,356
419,390.25
420,384.400000000023
421,389.699999999983
422,379.649999999994
423,378.300000000017
424,372.699999999983
425,363.700000000012
426,386.350000000006
427,378.649999999994
428,357
429,380.700000000012
430,346.849999999977
431,346.650000000023
432,384.899999999994
433,341.449999999983
434,379.800000000017
435,383.25
436,389.25
437,367.75
438,380.850000000006
439,375.199999999983
440,500.399999999994
441,365.300000000017
442,379.449999999983
443,369.100000000006
444,370.950000000012
445,383.149999999994
446,370.799999999988
447,369.650000000023
448,347
449,366.299999999988
450,360.350000000006
