"Time (ms)","Sweep 21. Voltage (mV)","Sweep 22. Voltage (mV)","Sweep 23. Voltage (mV)","Sweep 24. Voltage (mV)","Sweep 25. Voltage (mV)"
823,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-85.754390458135
823.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-85.754390458135
824,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
824.5,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.6699177583998,-85.754390458135
825,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.6699177583998,-86.0595662248899
825.5,-87.8906208254195,-87.2802692919097,-86.6699177583998,-86.3647419916449,-86.0595662248899
826,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.6699177583998,-85.754390458135
826.5,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.6699177583998,-85.754390458135
827,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.3647419916449,-86.0595662248899
827.5,-87.8906208254195,-87.2802692919097,-86.9750935251547,-86.6699177583998,-86.0595662248899
828,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-86.0595662248899
828.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-86.0595662248899
829,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-85.754390458135
829.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.3647419916449,-86.0595662248899
830,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-86.0595662248899
830.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-85.754390458135
831,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-86.0595662248899
831.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-85.754390458135
832,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.3647419916449,-86.0595662248899
832.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
833,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.6699177583998,-85.754390458135
833.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
834,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
834.5,-87.8906208254195,-87.2802692919097,-86.6699177583998,-86.3647419916449,-85.754390458135
835,-87.8906208254195,-87.2802692919097,-86.9750935251547,-86.3647419916449,-85.754390458135
835.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
836,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.3647419916449,-86.0595662248899
836.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-86.3647419916449,-85.754390458135
837,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
837.5,-87.5854450586646,-87.2802692919097,-86.9750935251547,-86.3647419916449,-86.0595662248899
838,-87.8906208254195,-87.2802692919097,-86.6699177583998,-86.3647419916449,-86.0595662248899
838.5,-87.8906208254195,-87.2802692919097,-86.6699177583998,-86.3647419916449,-86.0595662248899
839,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.0595662248899,-85.754390458135
839.5,-87.8906208254195,-87.5854450586646,-86.6699177583998,-86.3647419916449,-86.0595662248899
840,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
840.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-86.0595662248899
841,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
841.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
842,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-86.0595662248899
842.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-86.0595662248899
843,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
843.5,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
844,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
844.5,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
845,-87.8906208254195,-87.5854450586646,-86.9750935251547,-86.3647419916449,-85.754390458135
845.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
846,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.3647419916449,-85.754390458135
