"Sweep (n)","Peak x (s)","Peak y (mV)"
278,129.800000000003,42.2058075595262
279,117.949999999997,43.3959930221592
280,143.199999999997,41.7480439200519
281,125.25,42.4804657432107
282,122.149999999994,42.8161590788252
283,142,41.3207978565426
284,140.800000000003,40.8935517930333
285,120.649999999994,41.1376924007529
286,123.900000000009,41.3818330084725
287,115.5,41.6259736161921
288,124.100000000006,41.5344208882973
289,128.550000000003,42.327877863386
290,120.100000000006,42.7551239268953
291,130.699999999997,42.4804657432107
292,128.25,41.5039033123323
293,130.600000000006,41.9616669518066
294,124.25,40.9545869449632
295,147.399999999994,41.5344208882973
296,142.399999999994,41.8090790719818
297,116.450000000012,41.3207978565426
298,139.450000000012,40.1306123939096
299,137.5,42.3583954393509
300,126.650000000009,41.5649384642622
301,136,40.7104463372436
302,122.449999999997,40.5578584574189
303,129.149999999994,41.1987275526828
304,151.699999999997,42.4194305912808
305,130.799999999988,41.717526344087
306,124.649999999994,41.8701142239117
307,149.75,41.1682099767179
308,132.150000000009,40.7714814891735
309,132.149999999994,40.0695772419797
310,133.25,40.0390596660147
311,130.300000000003,40.0695772419797
312,121.649999999994,40.466305729524
313,122.149999999994,39.88647178619
314,132.600000000006,41.6564911921571
315,138.949999999997,41.5954560402272
316,118.199999999997,42.297360287421
317,127.700000000012,41.9006317998767
318,118.5,41.076657248823
319,129,42.327877863386
320,128,41.3818330084725
321,126.449999999997,41.076657248823
322,120.399999999994,42.0227021037365
323,143.349999999991,41.3513154325076
324,125.600000000006,40.496823305489
325,128.900000000009,41.1987275526828
326,127.850000000006,41.6259736161921
327,134.25,41.3513154325076
328,121.799999999988,40.5883760333838
329,135.949999999997,41.1682099767179
330,131.25,40.5883760333838
331,129.449999999997,40.5883760333838
332,126.900000000009,40.9545869449632
333,132.550000000003,41.5954560402272
334,125.649999999994,40.2221651218044
335,127.399999999994,40.6799287612787
336,141.850000000006,39.9475069381199
337,124.600000000006,41.107174824788
338,126.550000000003,41.8090790719818
339,143.5,40.1611299698745
340,127.5,41.4733857363674
341,131.899999999994,40.6494111853137
342,133.150000000009,41.1987275526828
343,115.75,41.6564911921571
344,127.899999999994,40.8325166411034
345,123,40.5578584574189
346,115.150000000009,40.9545869449632
347,138.349999999991,39.276120266891
348,135.850000000006,41.9006317998767
349,131.449999999997,40.1306123939096
350,149.900000000009,40.2832002737343
351,135.800000000003,40.6799287612787
352,130.75,41.5954560402272
353,121.300000000003,40.6494111853137
354,133.25,40.8019990651385
355,135.050000000003,40.1611299698745
356,143.549999999988,41.6564911921571
357,132.050000000003,41.8701142239117
358,140.800000000003,41.2902802805777
359,143.300000000003,40.1000948179446
360,123.699999999997,39.4287081467157
361,136.599999999991,39.7949190582951
362,127.25,39.0624972351363
363,123.25,40.1306123939096
364,138.25,39.4287081467157
365,142.099999999991,40.4052705775941
366,129.549999999988,39.5507784505755
367,141.300000000003,38.665768747592
368,138.799999999988,40.5883760333838
369,171.199999999997,37.6586887407486
370,125.600000000006,40.0085420900498
371,131.949999999997,40.2221651218044
372,132.25,39.5202608746106
373,143.550000000003,40.2526826977694
374,134.700000000012,39.2150851149611
375,133.149999999994,40.7409639132086
376,129.399999999994,40.0695772419797
377,126.400000000009,37.5976535888187
378,134.850000000006,40.466305729524
379,137.800000000003,38.3300754119775
380,128.699999999997,37.7502414686434
381,134.699999999997,39.3066378428559
382,143.5,38.665768747592
383,131.5,38.9404269312765
384,147.350000000006,40.1000948179446
385,134.350000000006,39.9780245140848
386,131.550000000003,40.466305729524
387,135.650000000009,39.8254366342601
388,135.100000000006,39.5507784505755
389,130.199999999997,41.0461396728581
390,137.300000000003,40.8630342170684
