"Sweep (n)","Ediast (mV)"
183,-56.5765340814212
184,-56.7901571131759
185,-55.9875448652977
186,-54.916377948928
187,-54.7607383115067
188,-55.5511435289989
189,-54.5623740677345
190,-54.7027549171733
191,-54.4006309151203
192,-54.8187217058401
193,-55.4656943162971
194,-55.218501950981
195,-55.1025351623141
196,-54.4830283702257
197,-53.985591881997
198,-54.0924033978743
199,-54.2327842473131
200,-54.8095664330506
201,-52.6428185395392
202,-53.060909330259
203,-52.6641808427146
204,-51.7944299277135
205,-60.2966265915487
206,-60.427852168198
207,-59.2956500998983
208,-58.5693317919325
209,-58.1634480315987
210,-58.2977253658444
211,-57.7239949377034
212,-57.2265584494747
213,-57.9711873030195
214,-57.2479207526501
215,-57.1105916608079
216,-56.1889608666664
217,-56.137080987526
218,-56.3751180800526
219,-56.0760458355961
220,-56.1340292299295
221,-55.9112509253853
222,-55.3314169820513
223,-53.8726768509267
224,-54.9774131008579
225,-54.6142539468749
226,-54.1351280042252
227,-63.5345414014299
228,-64.077754253606
229,-63.7237503724126
230,-63.2812455209208
231,-62.9363969125169
232,-62.3321489084109
233,-61.648555206796
234,-62.0727495127088
235,-61.4196733870589
236,-61.4776567813923
237,-60.9374956868126
238,-61.7034868435329
239,-61.3677935079184
240,-61.0290484147075
241,-61.2945513256026
242,-60.8459429589178
243,-60.717769139865
244,-60.2935748339522
245,-60.9191851412337
246,-59.9578814983377
247,-59.7503619817761
248,-60.2783160459697
249,-59.484859070881
250,-60.089107074987
251,-60.0524859838291
252,-60.2203326516363
253,-60.3149371371276
254,-60.9527544747951
255,-60.2691607731802
256,-61.303706598392
257,-60.9100298684442
258,-61.1450152033743
259,-60.7482867158299
260,-61.0504107178829
261,-60.8398394437248
262,-60.427852168198
263,-61.1389116881813
264,-60.7543902310229
265,-60.0219684078641
266,-59.8785358008289
267,-59.9365191951623
268,-59.7137408906181
269,-60.2325396820223
270,-60.5499224720578
271,-60.6262164119701
272,-59.9243121647763
273,-60.0433307110396
274,-60.2203326516363
275,-60.8856158076722
276,-60.4644732593559
277,-60.6445269575491
278,-60.7208208974615
279,-60.5468707144613
280,-60.8978228380582
281,-59.8724322856359
282,-60.2691607731802
283,-60.4339556833909
284,-60.385127561847
285,-60.4766802897419
286,-60.3546099858821
