"Sweep (n)","Ediast (mV)"
433,-59.9426227103553
434,-59.4177204037581
435,-58.3404499721954
436,-59.3627887670212
437,-59.3963581005826
438,-59.9090533767938
439,-59.4177204037581
440,-58.2977253658444
441,-59.8358111944779
442,-60.3271441675136
443,-59.8144488913025
444,-59.9853473167062
445,-60.5438189568648
446,-60.8612017469002
447,-60.3362994403031
448,-59.7137408906181
