"Sweep (n)","Ediast (mV)"
151,-49.6948218583726
152,-49.1577125088839
153,-51.202390146142
154,-50.8911108640519
155,-49.4201636682932
156,-50.7202124346692
157,-49.597165613011
158,-49.2187476622349
159,-50.3845190912388
160,-51.0986303854453
161,-50.3784155759037
162,-49.5422339749952
163,-49.6215796743514
164,-50.6652807966533
165,-49.6215796743514
166,-49.6215796743514
167,-49.9999976251275
168,-50.4089331525792
169,-50.0793433244838
170,-50.4760718212652
171,-50.7446264960096
172,-50.7507300113447
173,-49.6948218583726
174,-50.2075171465209
175,-51.0681128087698
176,-50.5004858826056
177,-50.5187964286109
178,-50.1769995698454
179,-50.7507300113447
180,-50.5004858826056
181,-48.7792945581078
182,-50.4577612752599
183,-50.9521460174029
184,-50.5554175206215
185,-49.4567847603038
186,-49.7619605270587
187,-50.5920386126321
188,-49.5117163983197
189,-49.5910620976759
190,-47.8088356198272
191,-50.9155249253923
192,-49.8596167724203
193,-47.6989723437954
194,-47.6806617977901
195,-50.0732398091487
196,-49.1149879015382
197,-49.5849585823408
198,-50.5432104899513
199,-50.0793433244838
200,-50.5187964286109
201,-51.9775365936995
202,-50.6347632199778
203,-46.9604469882485
204,-50.2502417538666
205,-51.452634274881
206,-50.9094214100572
207,-49.8657202877554
208,-46.2036110866962
209,-50.585935097297
210,-50.1037573858242
211,-49.3164039075965
212,-48.91357189548
213,-50.6347632199778
214,-50.7629370420149
215,-50.2685522998719
216,-49.3957496069528
217,-49.3652320302773
218,-49.6704077970322
219,-47.3571754850299
220,-50.1342749624997
221,-51.269528814828
222,-49.9206519257713
223,-48.9624000181608
224,-49.0844703248628
225,-46.4416481847651
226,-46.6979958288392
227,-47.363279000365
228,-46.5454079454618
229,-48.6694312820761
230,-47.3876930617054
231,-46.0082985959731
232,-46.43554466943
233,-48.7670875274376
234,-49.2065406315647
235,-49.5605445210005
236,-48.297116846635
237,-48.974607048831
238,-49.4811988216442
239,-45.880124773936
240,-50.3784155759037
241,-47.6501442211146
242,-49.4750953063091
243,-47.363279000365
244,-48.9562965028257
245,-48.3154273926403
246,-49.1271949322084
247,-48.8586402574641
248,-46.8627907428869
249,-46.0449196879837
250,-48.0163551412205
251,-49.4567847603038
252,-48.168943024598
253,-47.6867653131252
254,-49.0295386868469
255,-49.4262671836283
256,-48.9440894721555
257,-48.5778785520496
258,-47.3937965770405
259,-48.9074683801449
260,-48.6328101900655
261,-46.6674782521637
262,-46.4233376387598
263,-45.4406716698089
264,-45.6665017372076
265,-37.1643048754152
266,-35.5224592502737
267,-40.7958964997989
268,-48.0712867792364
269,-45.3735330011228
270,-41.7541484074094
271,-49.2126441468998
272,-46.5454079454618
273,-44.8974588049851
274,-43.3044413025244
275,-42.4682597016159
276,-47.552487975753
277,-44.3725564861667
278,-44.8181131056289
279,-40.8508281378148
280,-44.3115213328157
281,-42.1874979962014
