"Sweep (n)","RR (ms)"
245,198.449999999997
246,209.100000000006
247,235.25
248,209.649999999994
249,200.400000000001
250,208.300000000003
251,186.5
252,199.249999999993
253,207.25
254,224.950000000012
255,202.449999999997
256,222.300000000003
257,220.75
258,238.849999999991
259,212.300000000003
260,216.75
261,214.899999999994
262,201.300000000003
263,198.150000000009
264,202.399999999994
265,199.350000000006
266,189
267,209.699999999997
268,214.699999999997
269,226.75
270,233.149999999994
271,211.150000000009
272,220.149999999994
273,202.949999999997
274,201.5
275,192
276,197.850000000006
277,186.050000000003
278,233.649999999994
279,199.650000000009
280,217.949999999997
281,215.399999999994
282,232.300000000003
283,201.350000000006
284,195.149999999994
285,188.5
286,200.600000000006
287,185.5
288,196.049999999988
289,199.700000000012
290,205.849999999991
291,220.850000000006
292,217.550000000003
293,202.949999999997
294,214.449999999997
295,215.350000000006
296,187.899999999994
297,193.800000000003
298,735.300000000003
299,194.349999999991
300,228.75
301,222.949999999997
302,215.450000000012
303,188.949999999997
304,183
305,185.699999999997
306,206.449999999997
307,195.699999999997
308,201.75
309,218.650000000009
310,206.300000000003
311,210.349999999991
312,211.300000000003
313,184.300000000003
314,209.050000000003
315,207.049999999988
316,201.25
317,196.600000000006
318,187.850000000006
319,184.25
320,222.149999999994
321,173.25
322,199.199999999997
323,211.350000000006
324,204.949999999997
325,187.75
326,191.25
327,167.399999999994
328,192.350000000006
329,397.5
330,194.949999999997
331,175
332,184.75
333,212.800000000003
334,213.75
335,226.350000000006
336,225.75
337,204.75
338,204.349999999991
339,196.900000000009
340,199.049999999988
341,204.950000000012
342,196
343,190.5
344,204.049999999988
345,198.100000000006
346,194.800000000003
347,223.699999999997
348,215.949999999997
349,239.150000000009
350,206.349999999991
351,196.900000000009
352,204.5
353,191.849999999991
354,184.050000000003
355,183.350000000006
356,197.149999999994
357,230.300000000003
358,205.25
359,214.199999999997
360,269.449999999997
361,238.899999999994
362,227.100000000006
363,184.699999999997
364,204.050000000003
365,197.399999999994
366,195.25
367,194.75
368,172.150000000009
369,381.149999999994
370,230.900000000009
371,223.899999999994
372,231
373,210.100000000006
374,199.649999999994
375,211.199999999997
376,224.300000000003
377,201.5
378,192.399999999994
379,199
380,224.600000000006
381,569.399999999994
382,219.650000000009
383,225.599999999991
384,196
385,203.800000000003
386,210.900000000009
387,185.099999999991
388,199.800000000003
389,214.399999999994
390,192.350000000006
391,192.600000000006
392,249.5
393,232.099999999991
394,226.949999999997
395,251.350000000006
396,235.300000000003
397,211.849999999991
398,255.350000000006
399,203.899999999994
400,212.5
401,195.050000000003
402,213.850000000006
403,193.050000000003
404,235.299999999988
405,223.5
406,225.150000000009
407,240.050000000003
408,247.049999999988
409,227.5
410,239.450000000012
411,151.299999999988
412,239.550000000003
413,200.100000000006
414,979.550000000003
415,257.099999999991
416,282.75
417,201.550000000003
418,196.699999999997
419,207.600000000006
420,205.449999999997
421,243.050000000003
422,252.399999999994
423,200.150000000009
424,195.549999999988
425,189.75
426,226.950000000012
427,228.199999999997
428,234.699999999997
429,234
430,216.5
431,205.050000000003
432,195.599999999991
433,179.100000000006
434,195.25
435,207.300000000003
436,215
437,179.099999999991
