"File Name","Folder","Condition 1","Condition 2","Condition 3","variable","value"
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"RR (ms)",355.696518987342
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"RR (ms)",474.001510067114
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"RR (ms)",376.8421875
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"RR (ms)",287.53
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"RR (ms)",349.730368098159
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"RR (ms)",386.995786516854
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"RR (ms)",361.448758865248
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"RR (ms)",621.229166666667
"CellA_27_10_21_0000","27_10_21","27","10","21","RR (ms)",361.030103211009
"CellB_27_10_21_0000","27_10_21","27","10","21","RR (ms)",375.641666666667
"CellD_27_10_21_0000","27_10_21","27","10","21","RR (ms)",270.098648648649
"CellE_27_10_21_0000","27_10_21","27","10","21","RR (ms)",366.54710467706
"CelIJ_07_12_21_0000","07_12_21","07","12","21","Frequency (Hz)",0.398422651475734
"CelIL  07_12_21_0000","07_12_21","07","12","21","Frequency (Hz)",1.2365162098892
"CelIM 07_12_21_0000","07_12_21","07","12","21","Frequency (Hz)",0.562966976709001
"CelIN 07_12_21_0000","07_12_21","07","12","21","Frequency (Hz)",1.31341962175947
"CelIO 07_12_21_0000","07_12_21","07","12","21","Frequency (Hz)",2.18982026854626
"CelIP 07_12_21_0000","07_12_21","07","12","21","Frequency (Hz)",4.10398712703487
"CelIN 16_12_21_0000","16_12_21","16","12","21","Frequency (Hz)",2.50425254999711
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"Frequency (Hz)",1.86767739141499
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"Frequency (Hz)",2.81138539912331
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"Frequency (Hz)",2.10969792028386
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Frequency (Hz)",2.6536307058243
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Frequency (Hz)",3.4778979584739
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Frequency (Hz)",2.85934563085848
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Frequency (Hz)",2.58400746168447
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"Frequency (Hz)",2.76664388927342
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"Frequency (Hz)",1.6097119286361
"CellA_27_10_21_0000","27_10_21","27","10","21","Frequency (Hz)",2.76985212896648
"CellB_27_10_21_0000","27_10_21","27","10","21","Frequency (Hz)",2.66211149810325
"CellD_27_10_21_0000","27_10_21","27","10","21","Frequency (Hz)",3.70235099288048
"CellE_27_10_21_0000","27_10_21","27","10","21","Frequency (Hz)",2.72816232140486
"CelIJ_07_12_21_0000","07_12_21","07","12","21","SD1",304.989296861382
"CelIL  07_12_21_0000","07_12_21","07","12","21","SD1",65.73971744691
"CelIM 07_12_21_0000","07_12_21","07","12","21","SD1",1261.56335045054
"CelIN 07_12_21_0000","07_12_21","07","12","21","SD1",40.0929544932783
"CelIO 07_12_21_0000","07_12_21","07","12","21","SD1",17.6352431227952
"CelIP 07_12_21_0000","07_12_21","07","12","21","SD1",13.0319779772744
"CelIN 16_12_21_0000","16_12_21","16","12","21","SD1",10.8116626843542
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"SD1",22.5637773876621
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"SD1",9.05803786700317
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"SD1",10.2671904628295
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD1",14.5734707602552
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD1",9.28431203697972
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD1",13.0744043841398
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD1",18.9716749392348
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"SD1",24.3668996796888
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"SD1",32.6259068839402
"CellA_27_10_21_0000","27_10_21","27","10","21","SD1",8.52063671329378
"CellB_27_10_21_0000","27_10_21","27","10","21","SD1",7.36098159215546
"CellD_27_10_21_0000","27_10_21","27","10","21","SD1",8.52063671328967
"CellE_27_10_21_0000","27_10_21","27","10","21","SD1",9.3903780541483
"CelIJ_07_12_21_0000","07_12_21","07","12","21","SD2",42.8063333333333
"CelIL  07_12_21_0000","07_12_21","07","12","21","SD2",14.2271388888889
"CelIM 07_12_21_0000","07_12_21","07","12","21","SD2",26.3896666666667
"CelIN 07_12_21_0000","07_12_21","07","12","21","SD2",10.4177222222222
"CelIO 07_12_21_0000","07_12_21","07","12","21","SD2",11.7162777777778
"CelIP 07_12_21_0000","07_12_21","07","12","21","SD2",4.51052777777774
"CelIN 16_12_21_0000","16_12_21","16","12","21","SD2",7.12558333333345
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"SD2",9.38247222222221
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"SD2",8.19225000000008
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"SD2",12.7138888888889
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD2",10.05775
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD2",9.01274999999999
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD2",10.5310277777778
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD2",12.1438055555556
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"SD2",9.22166666666672
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"SD2",18.547
"CellA_27_10_21_0000","27_10_21","27","10","21","SD2",8.11747222222205
"CellB_27_10_21_0000","27_10_21","27","10","21","SD2",2.62158333333338
"CellD_27_10_21_0000","27_10_21","27","10","21","SD2",6.86213888888876
"CellE_27_10_21_0000","27_10_21","27","10","21","SD2",7.65105555555578
"CelIJ_07_12_21_0000","07_12_21","07","12","21","SD1_SD2 Ratio",7.12486384868397
"CelIL  07_12_21_0000","07_12_21","07","12","21","SD1_SD2 Ratio",4.62072648340079
"CelIM 07_12_21_0000","07_12_21","07","12","21","SD1_SD2 Ratio",47.8052021795351
"CelIN 07_12_21_0000","07_12_21","07","12","21","SD1_SD2 Ratio",3.84853364661185
"CelIO 07_12_21_0000","07_12_21","07","12","21","SD1_SD2 Ratio",1.50519161949573
"CelIP 07_12_21_0000","07_12_21","07","12","21","SD1_SD2 Ratio",2.88923572125635
"CelIN 16_12_21_0000","16_12_21","16","12","21","SD1_SD2 Ratio",1.51730211809851
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"SD1_SD2 Ratio",2.40488613802876
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"SD1_SD2 Ratio",1.10568377027106
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"SD1_SD2 Ratio",0.807557038806776
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD1_SD2 Ratio",1.44897922102411
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD1_SD2 Ratio",1.03013087425921
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD1_SD2 Ratio",1.24151266714242
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"SD1_SD2 Ratio",1.56225121132276
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"SD1_SD2 Ratio",2.6423531190698
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"SD1_SD2 Ratio",1.75909348595138
"CellA_27_10_21_0000","27_10_21","27","10","21","SD1_SD2 Ratio",1.04966626063321
"CellB_27_10_21_0000","27_10_21","27","10","21","SD1_SD2 Ratio",2.80783811010725
"CellD_27_10_21_0000","27_10_21","27","10","21","SD1_SD2 Ratio",1.2416881749634
"CellE_27_10_21_0000","27_10_21","27","10","21","SD1_SD2 Ratio",1.22733105072404
"CelIJ_07_12_21_0000","07_12_21","07","12","21","APD 20 (ms)",23.5629310344831
"CelIL  07_12_21_0000","07_12_21","07","12","21","APD 20 (ms)",86.8752136752128
