File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,SD2,SD1_SD2 Ratio,APD 20 (ms),APD 50 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
21420025,-50.9858374220527,47.6898170707927,98.6756544928454,172.903434170341,-9.15832476031546,5.6191418878291,12.5373333333333,0.448192748683593,21.44,50,178.48,WTC11_Expanded.D14_Tyr_1Hz,WTC11,Expanded.D14,Tyr,1Hz
21420035,-50.0882544568731,51.2536596749568,101.34191413183,69.5251431821082,-33.5418685240344,2.86142544120156,8.74611111111111,0.327165457292943,40.36,76.64,130.76,WTC11_Expanded.D14_Tyr_1Hz,WTC11,Expanded.D14,Tyr,1Hz
21412011,-55.6580784110706,47.5854469585625,103.243525369633,146.133415910598,-17.8253165361553,2.84728330557783,7.986,0.356534348306766,36.08,61.92,115.84,WTC11_Expanded.D14_Tyr_2Hz,WTC11,Expanded.D14,Tyr,2Hz
21412016,-62.4909638287135,55.6579563407639,118.148920169477,181.500235519827,-20.4864492222583,1.97518494211442,11.2074444444444,0.176238655645849,35.24,64.52,167.76,WTC11_Expanded.D14_Tyr_2Hz,WTC11,Expanded.D14,Tyr,2Hz
21412025,-55.0062229732821,55.4913303721157,110.497553345398,234.152210558054,-7.82470665959643,0.999377584076987,3.54288888888889,0.282079855005108,12.64,24.88,58.44,WTC11_Expanded.D14_Tyr_2Hz,WTC11,Expanded.D14,Tyr,2Hz
21420009,-53.9497655039299,60.0830049587104,114.03277046264,248.352038985163,-7.92541466262546,1.94218662565905,5.66777777777778,0.342671625777915,8.92,37.52,87.56,WTC11_Expanded.D14_Tyr_2Hz,WTC11,Expanded.D14,Tyr,2Hz
21420017,-53.066037518561,50.3857397943058,103.451777312867,119.146722856459,-25.3204333676563,5.79356156052178,12.9458888888889,0.447521341349858,32.44,65.64,199.96,WTC11_Expanded.D14_Tyr_2Hz,WTC11,Expanded.D14,Tyr,2Hz
21420026,-53.8498509578943,45.9368874665524,99.7867384244468,169.522086674695,-3.86657696478494,14.2269884374733,10.8904444444444,1.30637353783398,15.92,43.36,178.48,WTC11_Expanded.D14_Tyr_2Hz,WTC11,Expanded.D14,Tyr,2Hz
21420036,-51.9476293685575,48.8793922096034,100.827021578161,60.5712861855183,-34.7381575297134,2.3758787847868,8.65511111111111,0.274505867606567,34.88,68.52,134.24,WTC11_Expanded.D14_Tyr_2Hz,WTC11,Expanded.D14,Tyr,2Hz
21412026,-58.2535983073213,55.5950901328124,113.848688440134,225.851429702321,-7.58056604619249,1.25393602530414,4.74177777777778,0.264444283150654,13.96,25.76,71.08,WTC11_Expanded.D14_Tyr_3.33Hz,WTC11,Expanded.D14,Tyr,3.33Hz
21420010,-60.5030488840719,59.9078340685931,120.410882952665,278.021227029076,-13.9831536327109,2.40887710124217,6.27788888888889,0.383708145186449,11.12,40.76,94.16,WTC11_Expanded.D14_Tyr_3.33Hz,WTC11,Expanded.D14,Tyr,3.33Hz
21420018,-59.2717257003691,48.3795143036589,107.651240004028,150.46386004085,-15.722655503214,3.08298556597334,11.5777777777778,0.266284741782726,27,52.36,175.68,WTC11_Expanded.D14_Tyr_3.33Hz,WTC11,Expanded.D14,Tyr,3.33Hz
21420037,-52.9381078371373,46.6552712214935,99.5933790586308,53.2470677833999,-42.1783427231989,1.45663996924429,7.673,0.189839693632776,30.96,59.6,120.36,WTC11_Expanded.D14_Tyr_3.33Hz,WTC11,Expanded.D14,Tyr,3.33Hz
21412017,-63.9833953984518,52.9949926000604,116.978387998512,151.943962509612,-20.9594716607286,2.08360798189635,10.7371111111111,0.194056665739462,31.48,57.64,161.88,WTC11_Expanded.D14_Tyr_4Hz,WTC11,Expanded.D14,Tyr,4Hz
21412027,-60.6223115737197,55.0640842986588,115.686395872379,227.334583928749,-7.54394495418187,0.810815775760574,5.03755555555555,0.160954210195535,14.08,25.6,74.64,WTC11_Expanded.D14_Tyr_4Hz,WTC11,Expanded.D14,Tyr,4Hz
21420011,-60.0279512503878,60.0329561329626,120.06090738335,258.029162548959,-13.8000481726578,3.09712770159708,6.29077777777778,0.492328263849616,11.32,39.4,94.48,WTC11_Expanded.D14_Tyr_4Hz,WTC11,Expanded.D14,Tyr,4Hz
21420019,-55.327389950215,48.4197975048705,103.747187455086,124.383539013974,-6.906127601664,2.08832202710427,10.3325555555556,0.202110892690185,23.52,45.92,155.36,WTC11_Expanded.D14_Tyr_4Hz,WTC11,Expanded.D14,Tyr,4Hz
21420038,-53.2207005971524,44.3719461346331,97.592646731785507,40.9362773525062,-40.3717021840093,1.77248099817428,7.34422222222222,0.241343595624202,29.28,55.72,115.2,WTC11_Expanded.D14_Tyr_4Hz,WTC11,Expanded.D14,Tyr,4Hz
21412020,-60.4388399027466,47.5335670782142,107.972406980961,131.863397057137,-11.2182611859112,20.2091118063115,8.44922222222222,2.39183102003871,23.64,42.92,129.48,WTC11_Expanded.D14_Tyr_5Hz,WTC11,Expanded.D14,Tyr,5Hz
21412028,-63.9057586833893,52.7172826523134,116.623041335703,214.120473228261,-7.47070277016068,0.90038263471087,5.72611111111111,0.157241558404925,12.68,23.32,86.84,WTC11_Expanded.D14_Tyr_5Hz,WTC11,Expanded.D14,Tyr,5Hz
21420012,-61.7665375935906,59.0539522732128,120.820489866803,256.237780798109,-14.2944329148009,4.71404520791032,6.15355555555555,0.766068521743398,11.28,36.6,92.88,WTC11_Expanded.D14_Tyr_5Hz,WTC11,Expanded.D14,Tyr,5Hz
21420039,-54.1497166663077,44.76440217068,98.9141188369877,44.262693210135,-39.6423321014654,1.96104280649069,6.92711111111111,0.283096773681769,30.68,56,105.2,WTC11_Expanded.D14_Tyr_5Hz,WTC11,Expanded.D14,Tyr,5Hz
21412033,-52.8098119447935,56.3848850171742,109.194696961968,98.2574416220844,-79.400630994296307,172.491628202646,44.3436666666667,3.88988194186272,155.32,242.68,278.08,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504001,-58.4237032797105,50.1281714471646,108.551874726875,182.586661249473,-16.6381828034785,226.830427314229,24.9311111111111,9.09828793042186,54.36,93.56,231.92,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504019,-62.4080170553095,46.4086892019555,108.816706257265,157.443229826535,-18.3044424899604,15.0000918515706,18.4248888888889,0.814121156552342,51.44,88.24,266.48,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504028,-71.711910656367,53.5424779256188,125.254388581986,190.722647191162,-9.93652296554033,121.994775935511,21.9107777777778,5.56779760046857,67.92,101.28,143.84,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504037,-63.2130096928556,48.1268287687858,111.339838461641,190.649405007138,-32.6965316501226,4.11064742129779,8.46622222222222,0.485535025351464,19.56,76.24,125.32,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504046,-60.9208345087594,48.0426002571614,108.963434765921,193.029775987829,-4.87365699507611,259.44690610776,22.121,11.7285342483504,35.36,70,195.52,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504054,-62.6891449716441,51.2133764737451,113.902521445389,234.204090438399,-17.2698966406612,2.6021529547665,10.6353333333333,0.244670559277236,38.72,101.52,162.48,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504062,-61.3917817520156,49.0930152463319,110.484796998347,191.824331709147,-28.1860338174848,8.54184991673348,17.3577777777778,0.492105039371408,58.48,112.4,259,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504071,-64.4644744771643,46.7242409447801,111.188715421944,235.556019085124,-14.0869133934074,0.631682057859982,1.80044444444444,0.350847847490733,2.52,23.52,200.2,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21504079,-67.1075407578754,43.7982156931339,110.905756451009,208.465566270289,-10.7604975357787,3.62981481009094,6.91466666666666,0.524944293784846,33.2,69.4,103.68,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21621010,-67.7712980505673,51.0534643719656,118.824762422533,160.494987494083,-51.7089819189544,0.0848528137423856,1.11155555555556,0.0763369975691194,70.16,97.88,125.04,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
21621014,-65.3941619330065,53.5681126900262,118.962274623033,137.384026677735,-36.6790754062744,116.55948181079,16.4246666666667,7.0966117106866,68.08,93.32,118.48,WTC11_Expanded.Maturated_Tyr_0.5Hz,WTC11,Expanded.Maturated,Tyr,0.5Hz
